timestamp,district,lat,lon,temperature_c,humidity_pct,rainfall_mm,wind_speed_kph,river_level_m,soil_moisture_pct,soil_ph,rain_ph,pm25_ugm3,ozone_ppb,no2_ppb,so2_ppb,visibility_km,traffic_congestion_idx,senior_density,crop_type,crop_stage,flood_risk_score,heat_risk_score,cold_risk_score,acid_rain_risk_score,air_quality_risk_score,overall_risk_score,risk_level,primary_hazard,observed_crop_damage_pct
2025-01-01,East Orchard,40.724,-73.965,-5.31,51.15,17.04,16.76,1.88,36.01,6.09,5.36,27.95,27.48,27.8,7.73,15.41,63.91,0.15,corn,dormant,0.58,0.0,54.74,3.81,15.71,47.99,Moderate,Extreme Cold,0.03
2025-01-01,Hill Market,40.747,-73.985,3.9,57.94,10.53,18.58,1.87,22.06,6.42,4.66,27.88,41.31,28.51,10.67,14.03,62.1,0.17,soybean,dormant,0.0,0.8,4.56,26.5,14.64,25.6,Low,Acid Rain,0.02
2025-01-01,North Valley,40.733,-73.995,-0.36,30.84,6.27,31.41,1.74,47.54,6.38,5.5,26.5,40.65,24.76,5.94,15.17,59.69,0.18,wheat,dormant,0.51,0.0,29.32,0.0,6.36,22.16,Low,Extreme Cold,0.01
2025-01-01,River Bend,40.712,-74.02,2.64,56.84,12.84,31.01,1.98,37.18,6.06,4.93,19.9,24.44,37.5,5.03,17.77,69.41,0.2,soybean,dormant,6.18,0.0,13.54,15.59,5.62,15.48,Low,Acid Rain,0.03
2025-01-01,South Fields,40.691,-74.01,-5.52,80.68,76.36,23.57,3.5,70.09,5.78,4.26,19.82,32.74,21.78,18.26,11.99,56.71,0.23,soybean,dormant,96.25,0.99,65.69,90.99,6.17,84.81,Severe,Flood,0.23
2025-01-02,East Orchard,40.724,-73.965,-3.06,50.93,11.77,17.36,2.05,38.15,6.0,5.24,13.74,32.18,22.29,5.7,15.85,47.13,0.15,vegetable,dormant,8.22,0.0,44.25,4.85,8.13,39.51,Moderate,Extreme Cold,0.04
2025-01-02,Hill Market,40.747,-73.985,4.23,54.45,7.75,4.72,1.54,45.89,6.57,4.79,43.52,25.34,40.77,10.43,13.23,92.68,0.17,vegetable,dormant,6.41,0.08,6.5,16.42,36.23,36.54,Moderate,Air Quality,0.03
2025-01-02,North Valley,40.733,-73.995,3.25,42.91,5.57,14.67,1.39,34.07,6.42,5.47,9.18,22.71,26.79,3.88,13.99,44.28,0.18,soybean,dormant,3.99,0.0,1.71,0.19,4.08,6.3,Low,Air Quality,0.01
2025-01-02,River Bend,40.712,-74.02,0.13,63.5,21.49,22.1,2.43,46.42,5.95,4.77,29.65,42.68,34.58,12.88,13.61,62.9,0.2,wheat,dormant,16.21,0.0,23.57,29.1,18.83,24.48,Low,Acid Rain,0.05
2025-01-02,South Fields,40.691,-74.01,-3.16,48.16,11.19,42.89,2.08,27.45,6.69,5.17,21.31,17.08,20.0,6.85,12.81,58.13,0.23,corn,dormant,2.1,0.0,54.87,1.02,3.73,47.48,Moderate,Extreme Cold,0.03
2025-01-03,East Orchard,40.724,-73.965,-5.65,58.54,7.25,5.72,1.62,24.62,6.37,5.35,32.17,24.02,31.29,6.43,15.98,63.7,0.15,soybean,dormant,0.0,2.85,56.78,3.62,19.92,46.79,Moderate,Extreme Cold,0.03
2025-01-03,Hill Market,40.747,-73.985,14.8,60.35,15.56,28.49,2.14,35.21,6.27,4.94,29.86,31.43,38.98,11.72,12.24,83.4,0.17,corn,dormant,0.0,9.44,0.25,10.8,15.88,11.91,Low,Air Quality,0.02
2025-01-03,North Valley,40.733,-73.995,-11.56,58.59,9.15,9.51,1.74,47.44,6.14,5.6,32.24,14.86,27.68,3.28,13.98,31.35,0.18,wheat,dormant,1.11,0.0,100.0,0.61,6.74,87.52,Severe,Extreme Cold,0.05
2025-01-03,River Bend,40.712,-74.02,0.73,42.88,8.44,29.16,2.44,34.22,6.2,5.73,17.22,20.29,31.31,10.72,18.21,58.08,0.2,wheat,dormant,3.0,2.97,14.32,0.0,2.31,9.06,Low,Extreme Cold,0.01
2025-01-03,South Fields,40.691,-74.01,6.84,57.04,3.06,7.99,1.96,38.24,6.62,5.21,23.49,34.57,32.08,8.05,13.03,57.89,0.23,corn,dormant,1.41,4.04,6.47,2.51,9.56,11.22,Low,Air Quality,0.01
2025-01-04,East Orchard,40.724,-73.965,1.95,65.63,16.1,11.21,1.96,47.85,6.42,5.64,18.37,24.17,32.43,10.01,12.98,48.96,0.15,rice,dormant,1.56,4.77,9.78,2.75,6.8,5.58,Low,Extreme Cold,0.01
2025-01-04,Hill Market,40.747,-73.985,3.96,79.64,7.75,28.91,2.01,35.84,6.41,4.79,23.66,20.09,30.86,14.65,11.04,64.32,0.17,vegetable,dormant,3.25,0.0,5.61,11.54,9.04,10.82,Low,Acid Rain,0.02
2025-01-04,North Valley,40.733,-73.995,3.0,59.8,12.73,8.73,2.05,25.6,6.2,5.13,30.02,26.74,24.87,12.18,15.05,39.65,0.18,wheat,dormant,2.64,4.32,4.89,4.16,13.25,12.94,Low,Air Quality,0.01
2025-01-04,River Bend,40.712,-74.02,4.79,48.26,9.74,2.94,2.32,45.75,6.26,5.17,16.13,25.17,29.18,7.59,11.95,60.24,0.2,wheat,dormant,2.93,5.56,1.79,0.0,9.16,10.48,Low,Air Quality,0.01
2025-01-04,South Fields,40.691,-74.01,-4.87,62.23,5.81,19.66,1.92,22.42,6.43,5.12,15.42,32.54,18.84,6.58,13.97,45.18,0.23,rice,dormant,0.0,0.43,55.16,2.92,10.08,48.13,Moderate,Extreme Cold,0.02
2025-01-05,East Orchard,40.724,-73.965,-1.7,48.03,4.98,4.4,1.71,28.73,6.46,4.97,12.63,22.06,22.16,4.64,13.86,44.0,0.15,corn,dormant,0.63,0.0,23.18,5.16,7.6,18.45,Low,Extreme Cold,0.02
2025-01-05,Hill Market,40.747,-73.985,1.69,69.64,1.66,14.94,1.85,27.51,6.58,4.97,28.59,38.12,56.1,13.13,14.92,93.94,0.17,corn,dormant,4.51,3.54,10.83,13.88,26.55,23.07,Low,Air Quality,0.03
2025-01-05,North Valley,40.733,-73.995,2.06,58.17,15.44,9.69,2.15,40.26,6.34,5.06,14.76,39.13,25.52,4.0,15.1,46.77,0.18,wheat,dormant,2.79,0.0,2.33,7.26,4.03,10.5,Low,Acid Rain,0.01
2025-01-05,River Bend,40.712,-74.02,-2.81,65.29,7.1,9.6,2.16,44.67,6.28,5.48,28.2,34.47,25.95,10.6,17.66,56.79,0.2,corn,dormant,5.73,4.67,37.92,0.0,14.0,32.77,Low,Extreme Cold,0.03
2025-01-05,South Fields,40.691,-74.01,-0.79,58.76,12.11,20.83,2.17,34.67,6.69,5.39,25.46,36.69,25.17,10.85,15.32,59.26,0.23,wheat,dormant,1.73,0.0,19.62,1.92,15.92,17.2,Low,Extreme Cold,0.01
2025-01-06,East Orchard,40.724,-73.965,-1.31,64.35,11.41,26.8,2.14,19.03,5.92,5.23,23.74,41.33,27.98,8.92,15.89,55.36,0.15,corn,dormant,0.0,0.35,25.1,5.52,11.53,24.27,Low,Extreme Cold,0.02
2025-01-06,Hill Market,40.747,-73.985,-4.29,77.76,3.98,38.93,1.6,40.44,6.82,5.03,26.24,41.0,16.4,6.0,16.0,63.55,0.17,corn,dormant,4.81,0.32,64.29,0.99,14.1,54.69,Moderate,Extreme Cold,0.04
2025-01-06,North Valley,40.733,-73.995,11.31,61.9,4.91,6.73,2.01,43.29,6.15,5.47,16.56,29.44,24.77,11.22,15.74,45.77,0.18,corn,dormant,0.0,7.29,0.39,0.98,0.23,7.3,Low,Extreme Heat,0.01
2025-01-06,River Bend,40.712,-74.02,9.25,62.84,1.94,26.61,2.29,30.56,6.58,5.24,38.44,43.33,36.8,8.81,19.47,80.54,0.2,wheat,dormant,0.67,0.0,3.99,6.92,34.92,30.12,Low,Air Quality,0.01
2025-01-06,South Fields,40.691,-74.01,9.9,52.76,0.41,9.83,1.73,45.76,6.69,5.79,26.82,33.52,30.54,11.08,11.34,68.98,0.23,corn,dormant,1.82,0.0,0.81,0.0,14.36,16.57,Low,Air Quality,0.0
2025-01-07,East Orchard,40.724,-73.965,2.49,46.23,8.71,10.05,2.15,34.86,6.46,5.37,18.68,33.85,29.86,9.52,14.83,54.09,0.15,corn,dormant,0.0,0.85,0.0,4.05,12.96,8.78,Low,Air Quality,0.0
2025-01-07,Hill Market,40.747,-73.985,0.8,48.59,2.56,9.81,1.52,46.78,6.64,4.43,35.27,40.06,31.39,6.25,14.41,78.17,0.17,wheat,dormant,6.91,0.8,12.72,32.32,23.07,31.92,Low,Acid Rain,0.04
2025-01-07,North Valley,40.733,-73.995,1.69,57.36,1.19,8.64,1.64,16.79,6.23,5.37,25.61,46.98,29.85,12.05,14.05,76.17,0.18,wheat,dormant,4.76,4.05,7.32,1.36,19.61,15.43,Low,Air Quality,0.01
2025-01-07,River Bend,40.712,-74.02,-2.69,73.46,53.18,12.8,3.27,45.0,5.64,4.01,25.11,46.57,23.82,13.82,14.17,82.32,0.2,rice,dormant,70.46,0.53,35.75,98.54,12.69,87.72,Severe,Acid Rain,0.15
2025-01-07,South Fields,40.691,-74.01,2.27,52.41,11.17,11.74,2.0,31.41,6.6,5.6,8.04,29.69,26.13,8.57,13.82,53.04,0.23,vegetable,dormant,2.3,0.0,5.56,0.0,7.4,11.38,Low,Air Quality,0.01
2025-01-08,East Orchard,40.724,-73.965,2.82,59.85,7.16,19.97,1.78,45.52,6.13,5.21,12.97,28.31,35.5,5.61,14.44,56.99,0.15,corn,dormant,1.33,0.0,7.45,3.41,2.77,10.35,Low,Extreme Cold,0.01
